,0,1,2,3,4,5
0,105881366,1/9/15 0:00,8:24:38 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
1,106189011,1/22/15 0:00,8:12:39 AM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
2,106092995,1/18/15 0:00,8:02:59 AM,DSNY,"""Snow or Ice on Roadway - Report""","""Information Provided"""
3,106460253,2/2/15 0:00,12:34:39 PM,DOF,"""Parking Ticket Payment Problem or Penalty Adjustment""","""Information Provided"""
4,106779827,2/16/15 0:00,4:50:05 PM,NYPD,"""Find a Police Precinct or PSA by Location""","""Information Provided"""
5,105900487,1/10/15 0:00,12:23:08 PM,DSNY,"""Missed Garbage Collection""","""Information Provided"""
6,106236720,1/24/15 0:00,1:45:29 PM,NYPD,"""Abandoned Vehicle With Plates on Public Property""","""CSMS SR"""
7,106410167,1/31/15 0:00,2:17:47 PM,NYPD,"""Find a Police Precinct or PSA by Location""","""Information Provided"""
8,105837340,1/7/15 0:00,3:12:42 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
9,106756346,2/14/15 0:00,12:50:14 PM,3/1/01,"""311 Call Center""","""Information Provided"""
10,106645732,2/10/15 0:00,9:40:26 AM,DOF,"""Property Tax Abatement Information and Assistance - Co-op or Condo Building""","""CSMS SR"""
11,105728780,1/2/15 0:00,11:54:16 AM,NYPD,"""Division Transfer""","""Transfer to City Agency"""
12,105895885,1/10/15 0:00,9:10:56 AM,NYPD,"""Abandoned Vehicle With Plates on Public Property""","""CSMS SR"""
13,106765925,2/15/15 0:00,7:35:47 AM,3/1/01,"""Contact Information - Directory Assistance""","""Information Provided"""
14,106339849,1/28/15 0:00,4:03:39 PM,DSNY,"""Litter Basket Request""","""Information Provided"""
15,105751171,1/4/15 0:00,1:40:10 PM,DOF,"""Find a Towed Vehicle - Plate Number Unknown - NYPD""","""Routed to Web Page"""
16,106219213,1/23/15 0:00,12:45:48 PM,NYPD,"""Illegal Parking Complaint""","""CSMS SR"""
17,106739697,2/13/15 0:00,8:13:35 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
18,106628239,2/9/15 0:00,4:49:10 PM,DSNY,"""Garbage Collection - Storm Delays""","""Alert Information Provided"""
19,106652088,2/10/15 0:00,9:31:43 AM,DSNY,"""Bag of Garbage or Loose Debris in Street""","""Internal Transfer"""
20,106008924,1/15/15 0:00,10:51:19 AM,DOF,"""Property Tax Account Assistance and Bill Information""","""Information Provided"""
21,105840317,1/8/15 0:00,12:36:07 PM,NYPD,"""Illegal Parking Complaint""","""Information Provided"""
22,105757186,1/4/15 0:00,4:33:02 PM,DSNY,"""Christmas Tree Collection""","""Information Provided"""
23,106542395,2/5/15 0:00,8:40:43 AM,DSNY,"""Snow or Ice - Sidewalk - Commercial or Residential""","""Universal Intake SR"""
24,105814746,1/7/15 0:00,9:54:18 AM,DOF,"""Property Tax Mailing Address Update""","""CSMS SR"""
25,106210260,1/23/15 0:00,3:34:29 PM,DSNY,"""Missed Garbage Collection""","""Information Provided"""
26,106273842,1/26/15 0:00,2:50:51 PM,NYPD,"""Division Transfer""","""Transfer to City Agency"""
27,106284164,1/26/15 0:00,5:59:32 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
28,106249208,1/25/15 0:00,1:44:30 PM,NYPD,"""Vehicle Blocking Driveway Complaint""","""CSMS SR"""
29,105934724,1/12/15 0:00,11:06:22 PM,NYPD,"""Noise from Neighbor""","""CSMS SR"""
30,105754767,1/4/15 0:00,11:51:11 AM,HPD,"""Apartment Maintenance Complaint""","""Internal Transfer"""
31,106747928,2/13/15 0:00,8:13:26 AM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
32,106386035,1/30/15 0:00,11:35:20 AM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
33,106712142,2/12/15 0:00,11:45:57 AM,DOF,"""SCRIE - Application for Seniors Not Enrolled""","""Information Provided"""
34,106116013,1/20/15 0:00,2:54:09 PM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
35,106566064,2/6/15 0:00,7:38:11 AM,NYPD,"""Dangerous Location or Situation""","""Hot Transfer 911"""
36,106137334,1/20/15 0:00,12:25:39 PM,DOF,"""Parking Ticket Lookup - Ticket or Plate Number Known""","""Information Provided"""
37,105813060,1/7/15 0:00,7:33:40 PM,NYPD,"""Noise from Store or Business""","""CSMS SR"""
38,106370917,1/29/15 0:00,1:34:09 PM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Information Provided"""
39,106324668,1/28/15 0:00,4:32:24 PM,DOF,"""Property Tax Account Assistance and Bill Information""","""Information Provided"""
40,106330449,1/28/15 0:00,8:06:53 PM,DOF,"""Property Tax Homeowner Tax Benefit Application - General""","""CSMS SR"""
41,105711058,1/1/15 0:00,1:55:30 PM,HPD,"""Apartment Maintenance Complaint""","""Routed to Web Page"""
42,106348178,1/28/15 0:00,10:26:34 PM,NYPD,"""Noise from Neighbor""","""CSMS SR"""
43,106520460,2/4/15 0:00,2:26:29 PM,DSNY,"""Snow or Ice - Sidewalk - Commercial or Residential""","""Universal Intake SR"""
44,106608098,2/9/15 0:00,4:54:32 PM,DOF,"""Speed Camera Violation - Lookup Status - Notice of Liability Number or Plate Number Known""","""Information Provided"""
45,106044787,1/16/15 0:00,1:56:27 PM,DOF,"""Find a Towed Vehicle - Plate Number Known""","""Routed to Web Page"""
46,105855661,1/8/15 0:00,3:07:01 PM,DOF,"""Parking Ticket Lookup - Ticket or Plate Number Known""","""Routed to Web Page"""
47,106466993,2/4/15 0:00,1:37:31 AM,NYPD,"""Alarm In Progress""","""Hot Transfer 911"""
